"","datetime","country","shape","city"
"402",NA,"us","oval","little ferry"
"403",NA,"us","light","wall lake"
"404",NA,"gb","oval","rotherham (south yorkshire) (uk/england)"
"405",NA,"us","disk","nashville"
"406",NA,NA,"circle","calumet city"
"407",NA,NA,"disk","york"
"408",NA,NA,"oval","littlerock"
"409",NA,"us","unknown","lynnwood"
"410",NA,"us","fireball","monterey park"
"411",NA,"us","light","two harbors"
"412",NA,"us","diamond","pensacola"
"413",NA,"us","light","milton"
"414",NA,"gb","formation","kidlington (uk/england)"
"415",NA,"us","circle","la crescenta"
"416",NA,"us","light","enid"
"417",NA,"us","triangle","pampa"
"418",NA,"us","oval","rome"
"419",NA,"us","oval","melbourne"
"420",NA,"us","cylinder","carlton"
"421",NA,"us","circle","clackamas"
"422",NA,NA,"unknown","brassall (australia)"
"423",NA,"us","triangle","seattle"
"424",NA,"us","sphere","frankfort"
"425",NA,"us","light","tega cay"
"426",NA,"us","disk","gulf shores"
"427",NA,"gb","unknown","london (uk/england)"
"428",NA,NA,"chevron","klagenfurt (austria)"
"429",NA,"us","unknown","monrovia"
"430",NA,"us","disk","brownsville"
"431",NA,"us","light","concord"
"432",NA,"us","sphere","salisbury"
"433",NA,NA,"cylinder","bellmere (australia)"
"434",NA,"us","circle","bridgeport"
"435",NA,"us","sphere","dover"
"436",NA,"us","light","riverside"
"437",NA,"us","triangle","naples"
"438",NA,"us","light","centerville"
"439",NA,NA,"changing","villa park/lombard"
"440",NA,"us","fireball","albuquerque"
"441",NA,"us","triangle","los angeles"
"442",NA,NA,"unknown","sedro woolley"
"443",NA,"us","other","deer park"
"444",NA,"us","light","crisfield"
"445",NA,"ca","flash","st. john&#39s (canada)"
"446",NA,"us","triangle","plymouth"
"447",NA,"us","egg","glendale"
"448",NA,"us","disk","louisville"
"449",NA,"us","disk","rowlett"
"450",NA,"us","oval","west palm beach"
"451",NA,"us","circle","north smithfield"
"452",NA,"us","flash","putnamville"
"453",NA,"us","light","madison"
"454",NA,"us","other","redondo beach"
"455",NA,NA,"rectangle","moxee"
"456",NA,"us","oval","albany"
"457",NA,"us","sphere","west palm beach"
"458",NA,"us","changing","orangevale"
"459",NA,"us","light","cottage grove"
"460",NA,"us","circle","glendora"
"461",NA,"us","triangle","ramona"
"462",NA,"us","other","union city"
"463",NA,NA,"fireball","clinton township"
"464",NA,"us","chevron","omaha"
"465",NA,"us","other","henderson"
"466",NA,"us","light","cedar city"
"467",NA,"us","light","des moines"
"468",NA,"us","circle","new bedford"
"469",NA,"us",NA,"monroe"
"470",NA,"us","circle","holden beach"
"471",NA,"us","unknown","harrodsburg"
"472",NA,"us","unknown","worcester"
"473",NA,"us","sphere","watchung (was my perspective)"
"474",NA,"us","light","tewksbury"
"475",NA,NA,"disk","las vegas; enroute to (15 n freeway)"
"476",NA,NA,"disk","bablyon"
"477",NA,"us","cigar","angola"
"478",NA,"us","unknown","yakima"
"479",NA,"us","light","arbutus"
"480",NA,"us","fireball","forty fort"
"481",NA,"us","circle","saratoga springs"
"482",NA,"us","diamond","nanticoke"
"483",NA,"us","fireball","las cruces"
"484",NA,"us","triangle","ravensdale"
"485",NA,"us","diamond","levittown"
"486",NA,"us","sphere","phoenix"
"487",NA,"us","circle","blue island"
"488",NA,"us","unknown","truth or consequences"
"489",NA,"us","chevron","saginaw"
"490",NA,"ca","cylinder","hamilton (canada)"
"491",NA,"us","circle","ankeny"
"492",NA,"us","light","palm beach gardens"
"493",NA,"ca","circle","pickering (canada)"
"494",NA,"us","fireball","kalamazoo"
"495",NA,"us","unknown","lawrence"
"496",NA,"us","light","rittman"
"497",NA,NA,"fireball","north cincinnati"
"498",NA,"us","light","winterhaven"
"499",NA,"us","light","essex junction"
"500",NA,"ca","changing","beaverdam (canada)"
"501",NA,"us","circle","cincinnati"
"502",NA,"us","fireball","cincinnati"
"503",NA,"us","light","naples"
"504",NA,"us","unknown","saginaw"
"505",NA,NA,"light","bonaie"
"506",NA,"us","fireball","cincinnati"
"507",NA,"us","fireball","union"
"508",NA,"us","fireball","hubbardston"
"509",NA,"us","light","covington"
"510",NA,"us","sphere","drexel"
"511",NA,"us","chevron","fayetteville"
"512",NA,"us","light","jupiter"
"513",NA,"us","sphere","melbourne"
"514",NA,"us","sphere","dresser"
"515",NA,"us","formation","lombard"
"516",NA,"ca","light","windsor (canada)"
"517",NA,NA,"changing","shelby township"
"518",NA,"us","fireball","north canton"
"519",NA,"us","fireball","pinckney"
"520",NA,"us","disk","pikeville"
"521",NA,NA,"disk","fukuoka (japan)"
"522",NA,"us","disk","kansas city"
"523",NA,"us","circle","flatwoods"
"524",NA,NA,"circle","mono lake (area)"
"525",NA,"us","rectangle","newport"
"526",NA,"us","unknown","nelchina (near)"
"527",NA,"us","cigar","martelle"
"528",NA,"us","disk","paterson"
"529",NA,NA,NA,"northeast cape afs"
"530",NA,"us","other","new york city (manhattan)"
"531",NA,"us","unknown","jacksonville"
"532",NA,NA,NA,"duluth"
"533",NA,"us","sphere","toledo"
"534",NA,"us","disk","tulsa"
"535",NA,"us","disk","nashville"
"536",NA,"us","triangle","graham"
"537",NA,NA,"disk","desert"
"538",NA,"us","other","biloxi"
"539",NA,"us","sphere","colonial heights"
"540",NA,"us","disk","dushore"
"541",NA,"ca","diamond","edmonton (30 mi. east of&#44 hwy 16 east) (canada)"
"542",NA,"us","light","buffalo"
"543",NA,"us","light","anacortes"
"544",NA,"us","unknown","anamosa"
"545",NA,"us","disk","corvallis"
"546",NA,"us","sphere","chaffee"
"547",NA,"us","circle","greenville"
"548",NA,NA,"sphere","hudson&#39s hope (canada)"
"549",NA,"us","disk","minneapolis"
"550",NA,"us","cigar","boston"
"551",NA,NA,"circle","lima (peru)"
"552",NA,"us","circle","kennebunkport"
"553",NA,"us","oval","san francisco"
"554",NA,NA,"light","viet nam"
"555",NA,"ca","sphere","kingston (canada)"
"556",NA,"us","disk","new york city (brooklyn)"
"557",NA,"us","other","bentonville"
"558",NA,NA,"oval","summit lake indian reservation"
"559",NA,"us","other","tampa"
"560",NA,"us","disk","new york city (brooklyn)"
"561",NA,NA,"light","indian ocean (usn vessel)"
"562",NA,"us","disk","pasadena"
"563",NA,"us","unknown","potwin"
"564",NA,"us","unknown","denton"
"565",NA,"us","disk","mosheim"
"566",NA,"us","rectangle","monroe"
"567",NA,NA,"chevron","pickens/pumpkintown"
"568",NA,"us","unknown","sweet home"
"569",NA,"us","sphere","montezuma"
"570",NA,"us","disk","virginia beach"
"571",NA,"us","light","bloomington"
"572",NA,NA,"triangle","north st. paul"
"573",NA,"us","cylinder","roseburg"
"574",NA,"us","disk","beatty"
"575",NA,"us","oval","hixson"
"576",NA,"us","disk","valley city"
"577",NA,"us","unknown","denton"
"578",NA,"us","sphere","weirton"
"579",NA,NA,"changing","ankara (turkey)"
"580",NA,"us","unknown","deerwood"
"581",NA,"us","light","chester"
"582",NA,NA,"sphere","waterloo (belgium)"
"583",NA,NA,"triangle","kincheloe air force base&#44 michigan"
"584",NA,"us","changing","maricopa"
"585",NA,"us","disk","hartville"
"586",NA,"us","disk","fairport"
"587",NA,"us","disk","thonotosassa"
"588",NA,NA,"light","iselton"
"589",NA,"us","other","fountain valley"
"590",NA,"us","other","ferndale"
"591",NA,"us","cone","windsor"
"592",NA,"us","disk","lecompte"
